poster_number,file_path,filename,selection_date
1,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png",2025-04-22 18:10:49
2,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png",2025-04-22 18:10:49
3,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png",2025-04-22 18:10:49
4,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement32.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement32.png",2025-04-22 18:10:49
5,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png","A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png",2025-04-22 18:10:49
6,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png","basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png",2025-04-22 18:10:49
7,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png",2025-04-22 18:10:49
8,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png"," creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png",2025-04-22 18:10:49
9,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png",2025-04-22 18:10:49
10,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png",2025-04-22 18:10:49
11,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png","A dynamic scene of basketball players navigating through a maze, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s pathways and the players’ movements. .png",2025-04-22 18:10:49
12,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, .png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, .png",2025-04-22 18:10:49
13,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Illustrate a rigorous training session within the maze, with basketball players running drills and coaches giving instructions, all set against a backdrop of motivational banners in bright colors .png","Illustrate a rigorous training session within the maze, with basketball players running drills and coaches giving instructions, all set against a backdrop of motivational banners in bright colors .png",2025-04-22 18:10:49
14,/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,2025-04-22 18:10:49
15,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png","A moment of tip-off is reimagined as an explosive event, where dozens of basketballs burst upwards from the center court in the maze. The balls, bright in sunny yellows and oranges, contrast dramatically against the maze’s calming sky blue32.png",2025-04-22 18:10:49
