filename,title,collection,file_size,extension
" basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element .png","Basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element",basketball-posters,2080161,.png
" close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball .png","Close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball",basketball-posters,2170938,.png
" creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png","Creative basketball poster featuring a player standing triumphantly on top of the basketball hoop,",basketball-posters,1899512,.png
" inspiring scene showing a glittering basktball championship trophy at the center of the maze. The trophy is bathed in bright sunlight, rendered in vivid yellows and golds, with surrounding hues of lime greens and sky blues. Players are depicted .png","Inspiring scene showing a glittering basktball championship trophy at the center of the maze. The trophy is bathed in bright sunlight, rendered in vivid yellows and golds, with surrounding hues of lime greens and sky blues. Players are depicted",basketball-posters,2140377,.png
" referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game .png","Referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game",basketball-posters,2464718,.png
" scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment .png","Scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment",basketball-posters,2369307,.png
"1 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game.png","1 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game",basketball-posters,2597949,.png
"1 dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings .png","1 dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings",basketball-posters,2214949,.png
"2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out.png","2A vibrant depiction of basketball players enjoying themselves off the court, with a bright, cheerful color palette. The scene includes lime greens, sunny yellows, and sky blues, showing players engaging in activities like hanging out",basketball-posters,2069031,.png
"3 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game.png","3 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game",basketball-posters,2032885,.png
