Analysis Methodology
Poster Analysis Parameters:
1. Color Features:
   - RGB and HSV histograms (32 bins per channel)
"   - LAB color space moments (mean, std, skewness)"
   - Color variation in different color spaces
""
2. Texture Features:
   - Sobel gradient analysis (edges and details)
"   - GLCM (contrast, dissimilarity, homogeneity, energy, correlation)"
   - Local Binary Patterns (local texture patterns)
""
3. Composition Features:
   - Rule of thirds analysis
   - Vertical and horizontal symmetry
   - Edge density (visual complexity)
""
4. Ranking Criteria:
   - Color variation (30%): Diversity of colors in RGB and HSV spaces
   - Visual appeal (20%): Brightness and saturation
   - Texture quality (25%): Contrast and homogeneity
   - Composition (15%): Edge density and visual complexity
   - Balance (10%): Vertical and horizontal symmetry
""
5. Additional Information:
   - midjourney_prompt: Original prompt used to generate the image
   - Total analyzed: 172 posters
""
Data starts below:

file_path,filename,midjourney_prompt,color_variation_rgb,color_variation_hsv,brightness,saturation,texture_contrast,texture_homogeneity,edge_density,vertical_symmetry,horizontal_symmetry,score,rank
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d.png,tatianathevisionary_Historic_basketball_plays_are_reenacted_at__f38cdef9-b2e7-4a27-a9c3-1d30527b567d,1483.7350954039382,3344.051668634921,123.26137994260205,141.3561463647959,804.7605765493554,12.689811507326857,0.2759486607142857,126.57142857142857,127.08163265306122,0.7077127855775522,1
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection.png","Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection.png","Historic basketball plays are reenacted at key points in the maze, with players dressed in retro gear against a backdrop of historic color schemes, blending nostalgia with the modern aesthetic of the collection",1483.7350954039382,3344.051668634921,123.26137994260205,141.3561463647959,804.7605765493554,12.689811507326857,0.2759486607142857,126.57142857142857,127.08163265306122,0.7077127855775522,1
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Depict a section of the maze lined with cheering basketball fans in a kaleidoscope of team colors, creating a vibrant and lively atmosphere that fuels the basketball players' spirits as they navigate the path.png","Depict a section of the maze lined with cheering basketball fans in a kaleidoscope of team colors, creating a vibrant and lively atmosphere that fuels the basketball players' spirits as they navigate the path.png","Depict a section of the maze lined with cheering basketball fans in a kaleidoscope of team colors, creating a vibrant and lively atmosphere that fuels the basketball players' spirits as they navigate the path",1725.4592021642625,1501.7403445669295,101.17815290178571,143.60710299744898,1103.3113149386513,13.324914898368823,0.2731983418367347,126.65306122448979,127.09183673469387,0.6575640692573657,3
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game .png"," referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game .png"," referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game",1963.4875912094105,2186.415836096449,90.97572544642857,135.24657206632654,968.1208033255236,13.526209679644888,0.260562818877551,126.55102040816327,126.54591836734694,0.6498383025322092,4
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic desin2.png","A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic desin2.png","A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic desin",1068.5682009118557,1362.4712535193785,128.10794005102042,146.6584622130102,1026.805111249543,13.830352272580683,0.2766860650510204,126.86224489795919,127.04591836734694,0.640690261883854,5
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game.png","A referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game.png","A referee makes a crucial call at a key junction of the maze, with colorful flags and whistles depicted in vibrant detail, highlighting the role of rules and officiating in the basketball game",2161.8572166079794,1738.3452740082064,78.31911670918367,132.56531010841837,1016.2383248823592,13.469240511212858,0.24352279974489796,126.43367346938776,126.51530612244898,0.6186747403599386,6
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above",1221.259007131575,1358.630299848589,113.9967115752551,125.55925143494898,952.7585837146753,14.833273361596447,0.30674027423469385,123.8061224489796,127.36224489795919,0.6135693890220063,7
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate path3.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate path3.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate path",1384.4309375455798,1590.6720932779747,86.22074298469387,126.22349330357143,884.2290507633674,14.833217671290425,0.32089046556122447,126.89285714285714,127.19897959183673,0.6080598151804909,8
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic design.png","A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic design.png","A vibrant piece featuring street art inspired by basketball, with graffiti-style images of players and hoops on walls. The artwork integrates urban Californian culture with dynamic basketball imagery, creating a visually striking and energetic design",1558.378056399238,2285.3098805194886,121.07521524234694,150.75793207908163,729.4368904986036,11.202455731319128,0.20396205357142858,126.86734693877551,126.42857142857143,0.6033661227173868,9
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A detailed close-up of a basketball hoop, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the hoop, net, and backboard, with a playful, vibrant background highlighting the hoop’s.png","A detailed close-up of a basketball hoop, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the hoop, net, and backboard, with a playful, vibrant background highlighting the hoop’s.png","A detailed close-up of a basketball hoop, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the hoop, net, and backboard, with a playful, vibrant background highlighting the hoop’s",1671.2971135219095,2666.048230371436,138.27048788265307,137.0772082270408,632.9093569897639,9.1417678756504,0.16956313775510204,126.87755102040816,126.95918367346938,0.5836646201903759,10
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed detail.png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed detail.png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed detail",1140.3528784985813,1623.5125628299481,136.61856265943877,127.68435108418367,769.581120228064,12.24253930393631,0.26223692602040816,126.84183673469387,127.11224489795919,0.5804436579724287,11
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed details.png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed details.png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art and basketball-themed details",1058.3540975653343,1573.9888222284171,132.77074697066325,122.06786112882654,834.2742025630832,13.080673092578383,0.27724410076530615,124.68367346938776,126.97448979591837,0.5791727186731545,12
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment2.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment2.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment",1745.4262791173203,2507.283959619785,104.82134885204081,110.98415577168367,660.585966122821,12.383632365108486,0.24599410076530612,126.71938775510205,126.85714285714286,0.5735640794622091,13
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art .png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art .png","A lively street basketball game with bright, cheerful colors. Lime greens, sunny yellows, and sky blues showcase players in action, with a vibrant urban court backdrop. The scene includes playful street art",946.2345221103135,1449.0328239898502,140.69025031887756,120.41906489158163,761.9460802414742,13.046666542261054,0.28138950892857145,126.14285714285714,127.29591836734694,0.5702330650816321,14
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An animated street basketball game in a Californian neighborhood. Players of various ages and backgrounds are intensely engaged in the game, with graffiti art and palm trees surrounding the outdoor court..png","An animated street basketball game in a Californian neighborhood. Players of various ages and backgrounds are intensely engaged in the game, with graffiti art and palm trees surrounding the outdoor court..png","An animated street basketball game in a Californian neighborhood. Players of various ages and backgrounds are intensely engaged in the game, with graffiti art and palm trees surrounding the outdoor court",1577.7087751440906,2089.5243477882714,131.07280373086735,126.50751355229592,691.8794098851411,10.456934253628667,0.2084064094387755,124.56632653061224,127.3265306122449,0.5659108502116668,15
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lively street basketball game with a vibrant, urban color palette. Bright, saturated hues of red, blue, and green dominate the scene, with graffiti accents and sunny skies. The energetic vibe complements the playful, retro feel of the collection.png","A lively street basketball game with a vibrant, urban color palette. Bright, saturated hues of red, blue, and green dominate the scene, with graffiti accents and sunny skies. The energetic vibe complements the playful, retro feel of the collection.png","A lively street basketball game with a vibrant, urban color palette. Bright, saturated hues of red, blue, and green dominate the scene, with graffiti accents and sunny skies. The energetic vibe complements the playful, retro feel of the collection",1699.6588260589242,1590.596920184369,105.40226403061224,129.4972696109694,782.6906777340935,12.1986952759452,0.23658721301020408,122.5561224489796,126.85714285714286,0.558353053882542,16
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/n imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere.png","n imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere.png","n imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere",1901.2287583735595,1836.2936516254692,105.5180963010204,113.13659917091837,798.5439899141395,10.97873753572775,0.22676179846938777,125.28061224489795,127.1734693877551,0.553287237236498,17
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lively scene of a youth basketball clinic taking place in a Californian park. Coaches are instructing young players, with palm trees and sunny skies in the background. The artwork highlights the community and development aspect of the sport .png","A lively scene of a youth basketball clinic taking place in a Californian park. Coaches are instructing young players, with palm trees and sunny skies in the background. The artwork highlights the community and development aspect of the sport .png","A lively scene of a youth basketball clinic taking place in a Californian park. Coaches are instructing young players, with palm trees and sunny skies in the background. The artwork highlights the community and development aspect of the sport",1438.5654964234336,1988.4966526247913,140.9143614477041,126.4214166135204,626.3659932250484,9.76823569019014,0.2098812181122449,124.89285714285714,127.18367346938776,0.5475153449736866,18
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/1 dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings .png","1 dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings .png","1 dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings",1235.9204734393984,1813.0467106503352,138.65567203443877,125.8243183992347,647.4431271697806,10.871350340065497,0.2220782844387755,126.18367346938776,127.29591836734694,0.5462483220722477,19
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements.png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements.png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements",1174.4103218920834,1618.7371878514848,130.56120455994898,127.87655452806122,636.355028242602,11.91768800826252,0.23485331632653061,127.05102040816327,127.29081632653062,0.5428622494949454,20
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png","basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png","basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the",1158.7339175439142,1602.768711220264,119.38097895408163,151.15385841836735,525.3477224225442,10.525193044017293,0.24328364158163265,126.90306122448979,127.18877551020408,0.5414946527661838,21
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A joyful scene of basketball players having fun on the court, rendered in a bright, cheerful color palette of lime greens, sunny yellows, and sky blues. The artwork captures playful moments--players dunking, dribbling, and laughing.png","A joyful scene of basketball players having fun on the court, rendered in a bright, cheerful color palette of lime greens, sunny yellows, and sky blues. The artwork captures playful moments--players dunking, dribbling, and laughing.png","A joyful scene of basketball players having fun on the court, rendered in a bright, cheerful color palette of lime greens, sunny yellows, and sky blues. The artwork captures playful moments--players dunking, dribbling, and laughing",1403.123606161149,2796.4382144971487,149.12936463647958,126.15613042091837,463.80284248746705,8.52141106883942,0.17175542091836735,126.86734693877551,126.9438775510204,0.5410336770705868,22
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/32.png,32.png,,2377.1289098756647,2133.390137590091,73.49810666454081,127.36136798469387,706.0669415759523,10.65277635675646,0.19935825892857142,124.41836734693878,126.24489795918367,0.5402435285696906,23
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A unique blend of basketball and California’s natural beauty. A player is seen shooting hoops with a stunning mountain or desert landscape in the background. The scene combines the thrill of basketball with the serene beauty of California’s.png,A unique blend of basketball and California’s natural beauty. A player is seen shooting hoops with a stunning mountain or desert landscape in the background. The scene combines the thrill of basketball with the serene beauty of California’s.png,A unique blend of basketball and California’s natural beauty. A player is seen shooting hoops with a stunning mountain or desert landscape in the background. The scene combines the thrill of basketball with the serene beauty of California’s,1340.82118805355,2004.2813186193864,151.00007971938774,121.12840800382654,531.9756251003336,9.70026164668534,0.2196468431122449,124.60204081632654,127.53571428571429,0.5396765317873312,24
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the abundance and the exhilarating rush of succes.png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the abundance and the exhilarating rush of succes.png","An energetic, almost chaotic scene of hundreds of basketballs flying towards multiple nets within the maze. The balls are rendered in sunny yellows and oranges, creating a striking contrast against the abundance and the exhilarating rush of succes",1227.983662350603,1909.5881536778202,144.14953364158163,128.79300860969389,607.1149804399536,9.663651062413445,0.2152423469387755,126.79591836734694,126.91326530612245,0.5379840916091168,25
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends32.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends32.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends",1405.301109489825,1674.6356382309955,127.64508928571429,122.42466517857143,649.7139098598725,10.75455200440221,0.23580994897959184,125.98469387755102,127.19897959183673,0.5372658793503464,26
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense",1753.6394179914334,1767.205202902783,112.90543287627551,130.4846739477041,697.6992263158512,10.179504973024263,0.1885363520408163,126.0,127.1938775510204,0.5366135874949336,27
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere",1541.4802342229368,1626.714326487598,134.8807995854592,121.8275071747449,588.8484912659794,10.341982726627295,0.2290935905612245,125.85714285714286,127.35714285714286,0.5348237071794157,28
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense.png2.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense.png2.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense.png",2048.8841424459965,1457.013905504451,94.83358577806122,132.48491310586735,645.8950591175162,10.46306772052036,0.22905373086734693,126.69897959183673,126.85714285714286,0.5346868380088791,29
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends.png","A dynamic scene of a basketball clinic with a bright, cheerful color palette--lime greens, sunny yellows, and sky blues. The background features playful elements and the California sun, creating an engaging, educational atmosphere that blends",1765.5026609533427,2450.858510297973,145.88960857780611,122.82340162627551,465.57519563966105,8.402771975785884,0.19836176658163265,125.12244897959184,126.08673469387755,0.5340375637752747,30
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate paths.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate paths.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players on a scavenger hunt through the intricate paths",1357.2097218803979,1656.190017781776,85.17173549107143,127.79619738520408,619.5511837550175,11.7133445653971,0.28920200892857145,127.28571428571429,127.15306122448979,0.5319924323134656,31
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings .png","A dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings .png","A dynamic scene of a basketball camp in California, with players of various ages engaged in drills and games. The camp is set in a picturesque location with palm trees and mountains, emphasizing both the training and the beautiful surroundings",1469.2811025577555,1798.1031961949977,137.6350645727041,127.12348533163265,567.7171986348183,9.83627640409448,0.20655293367346939,125.1734693877551,127.0561224489796,0.5265647861936454,32
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Show basketball players performing their signature moves at strategic points in the maze, with bright action lines and dynamic shapes highlighting the special moves .png","Show basketball players performing their signature moves at strategic points in the maze, with bright action lines and dynamic shapes highlighting the special moves .png","Show basketball players performing their signature moves at strategic points in the maze, with bright action lines and dynamic shapes highlighting the special moves",1551.0817193171997,1834.8487562557666,99.45372289540816,141.46033960459184,511.4505244076366,9.268392681790932,0.2352718431122449,127.03061224489795,127.08673469387755,0.5226830429615952,33
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above.",1444.544600961378,971.8986251147802,111.55596301020408,125.39646444515306,678.2847073546545,12.212161472316222,0.2674585459183674,125.96938775510205,127.02551020408163,0.5223780684373835,34
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A playful scene of a beach basketball game with players in swimwear and beach attire. The court is set up on the sand, with the ocean and palm trees in the background. The atmosphere is casual and fun, capturing the spirit of basketball in a laid-back.png","A playful scene of a beach basketball game with players in swimwear and beach attire. The court is set up on the sand, with the ocean and palm trees in the background. The atmosphere is casual and fun, capturing the spirit of basketball in a laid-back.png","A playful scene of a beach basketball game with players in swimwear and beach attire. The court is set up on the sand, with the ocean and palm trees in the background. The atmosphere is casual and fun, capturing the spirit of basketball in a laid-back",1949.0168942743073,1624.8140214088094,101.6807637117347,125.60688376913265,658.4178032082089,10.581037118797733,0.22221779336734693,123.90306122448979,126.34183673469387,0.5215132202741092,35
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements32.png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements32.png","A detailed view of a basketball court setup with bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the court’s lines, hoop, and ball, with playful patterns and dynamic shapes. The scene includes abstract court elements",1387.3508403308324,1363.1812669878746,108.62968351403062,126.20105229591837,625.4693850288484,11.25623757290395,0.24465880102040816,125.56632653061224,127.47448979591837,0.5153090694590884,36
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 1.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement 1.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement",2015.4827792202377,2063.219864273639,77.14542809311224,126.2499003507653,626.3962435104322,10.166810708403201,0.2090640943877551,125.80102040816327,126.5,0.5143099538712654,37
/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue.png,A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue.png,A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blue,1853.9147431853494,2869.2352603379645,117.58033721301021,100.7504583864796,512.2028269134307,8.621383523664802,0.1764190051020408,127.01020408163265,127.10714285714286,0.5114187048664122,38
