Selection Methodology
Image Analysis Parameters:
- Color Features: RGB histogram with 32 bins per channel
- Texture Features: Sobel gradient magnitude (mean and std)
- Clustering Method: K-means (k=20)
- Feature Scaling: StandardScaler
- Selection: One representative image per cluster (closest to centroid)
""
Metrics Explanation:
- color_variation: Standard deviation of color histogram (higher = more diverse colors)
- avg_brightness: Mean of color histogram (higher = brighter image)
- texture_intensity: Mean gradient magnitude (higher = more edges/details)
- texture_variation: Standard deviation of gradients (higher = more texture variety)
""
Data starts below:

poster_number,file_path,filename,selection_date,color_variation,avg_brightness,texture_intensity,texture_variation
1,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png",2025-04-22 18:12:46,2237.6343767842563,1568.0,69.72927580459664,80.89022565162355
2,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above..png",2025-04-22 18:12:46,1740.7533510427795,1568.0,108.18033769820978,95.04925709850829
3,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png","An overhead view of a basketball court, illustrated with a bright, cheerful color palette. Lime greens, sunny yellows, and sky blues dominate the scene, highlighting the court’s lines, markings, and hoop from above. .png",2025-04-22 18:12:46,1901.2287583735595,1568.0,120.23714874097888,127.64076972801294
4,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement32.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement32.png",2025-04-22 18:12:46,1444.3419709911732,1568.0,103.68628684584442,101.0646060189428
5,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png","A scene depicting a player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical moment of action.png",2025-04-22 18:12:46,1730.6077388690176,1568.0,54.13194015770501,75.35790582242328
6,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png","basketball player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the .png",2025-04-22 18:12:46,1158.7339175439142,1568.0,110.63121728535988,91.08083210819234
7,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze32 .png",2025-04-22 18:12:46,1763.6014643337082,1568.0,25.07026939089509,50.5139289224339
8,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png"," creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png",2025-04-22 18:12:46,2029.8107516465666,1568.0,89.72016147675694,91.26070521964367
9,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png","A triumphant scene of a basketball team celebrating a victory, using bright, cheerful colors. Lime greens, sunny yellows, and sky blues highlight the team’s joyful poses and the celebratory details like confetti and banners..png",2025-04-22 18:12:46,1237.3861647979313,1568.0,63.047357258553404,66.07050653108055
10,"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png","A basketball player makes a daring jump shot through a loop-shaped hoop that twists through the maze. The maze’s walls are adorned in lime greens and sky blues, and the basketball emits a sunny yellow trail, adding a challenging and novel element.png",2025-04-22 18:12:46,1410.8031917433889,1568.0,78.56205943045417,92.91414645817336
